classs,question
NUM,റിച്ചാർഡ് ബോലെസ്ലാവ്സ്കി സംവിധാനം ചെയ്ത സിനിമകളുടെ റിലീസ് തീയതികൾ എന്തായിരുന്നു
HUM,ടിം റോബിൻസ് സംവിധാനം ചെയ്ത സിനിമകൾ എഴുതിയത് ആരാണ്?
HUM,റൂത്ത് മക്കെന്നിയുടെ സിനിമാ സഹ-എഴുത്തുകാരാണ്
ENTY,ജൂഹയുടെ തിരക്കഥാകൃത്തും സിനിമകൾ എഴുതിയിട്ടുണ്ട്
HUM,നടൻ ഉറ്റാ ഹേഗൻ ആർക്കൊപ്പം അഭിനയിച്ചു
NUM,ടമാർ സൈമൺ ഹോഫ്‌സ് സംവിധാനം ചെയ്ത ചിത്രങ്ങൾ റിലീസ് ചെയ്ത വർഷങ്ങൾ
NUM,ജസ്റ്റ് ജെക്കിൻ എഴുതിയ സിനിമകൾ എപ്പോഴാണ് പുറത്തിറങ്ങിയത്
HUM,ബോബി ആൻ മേസണുമായി സഹ-രചയിതാവ്
NUM,എപ്പോഴാണ് ഉന മെർക്കൽ അഭിനയിച്ച ചിത്രങ്ങൾ റിലീസ് ചെയ്തത്
HUM,ജോഡി ലോറൻസ് അഭിനയിച്ച സിനിമകൾ സംവിധാനം ചെയ്ത വ്യക്തി
ENTY,ടോം മാൻകിവിച്ച് സംവിധാനം ചെയ്ത സിനിമകൾ ഏതൊക്കെ വിഭാഗങ്ങളിലായിരുന്നു
ENTY,സ്ലേവ്സ് ഓഫ് ന്യൂയോർക്കിലെ അതേ നടനെ പങ്കിടുന്ന സിനിമകൾ
ENTY,ജോനാസ് ചെർനിക്ക് അഭിനയിച്ച സിനിമകളുടെ വിഭാഗങ്ങൾ എന്തൊക്കെയാണ്
HUM,ഷെറിൽ ലീച്ച് രചിച്ച ചിത്രങ്ങളുടെ സംവിധായകർ
ENTY,സെസ്ക് ഗേ സംവിധാനം ചെയ്ത സിനിമകളുടെ തരങ്ങൾ എന്തൊക്കെയാണ്
HUM,ജെയിംസ് ഹിക്സ് എഴുതിയ സിനിമകളിൽ അഭിനയിച്ചു
HUM,ജെഫ്രി ഹൗസ്ഹോൾഡ് എഴുതിയ സിനിമകളിൽ അഭിനയിച്ചത് ആരാണ്
ENTY,ടിമോ വുറെൻസോള സംവിധാനം ചെയ്ത സിനിമകൾ ഏതൊക്കെയാണ്
ENTY,ജൂഡ് ലോ അഭിനയിച്ച സിനിമകളുടെ തരങ്ങൾ എന്തൊക്കെയാണ്
ENTY,ഫ്രാൻസ്വാ ഡാമിയൻസ് അഭിനയിച്ച സിനിമകളിലെ പ്രധാന ഭാഷകൾ ഏതൊക്കെയാണ്
ENTY,എ ബേഡേഴ്‌സ് ഗൈഡ് ടു എവരിവിംഗ് എന്ന അതേ നടൻ ഉള്ള സിനിമകൾ
HUM,ഡഗ് സൈമൺ തിരക്കഥയെഴുതി സിനിമകൾ സംവിധാനം ചെയ്തത്
HUM,മറീന ഫോയിസിൻ്റെ സഹതാരങ്ങൾ
ENTY,ദ ഫുള്ളർ ബ്രഷ് മാൻ്റെ അതേ നടനുള്ള സിനിമകൾ ഏതൊക്കെയാണ്
ENTY,ശർമൻ ജോഷി അഭിനയിച്ച സിനിമകൾ ഏതൊക്കെയാണ്?
NUM,സാറ സ്നൂക്ക് അഭിനയിച്ച സിനിമകൾ പുറത്തിറങ്ങിയത് ഏതൊക്കെ വർഷങ്ങളിലാണ്
ENTY,ദേ മെയ്റ്റ് ബി ജയൻ്റ്സിൻ്റെ അതേ തിരക്കഥാകൃത്ത് ഉള്ള സിനിമകൾ ഏതൊക്കെയാണ്
ENTY,ഇവാൻഹോയുടെ അതേ നടനുള്ള സിനിമകൾ ഏതൊക്കെയാണ്
HUM,ജിം പിഡോക്ക് എഴുതിയ ചിത്രങ്ങളിൽ അഭിനയിച്ചു
HUM,ലീ ചൈൽഡ് എഴുതിയ സിനിമകൾ സംവിധാനം ചെയ്ത വ്യക്തി
ENTY,കേണൽ ചാബെർട്ടിൻ്റെ അതേ തിരക്കഥാകൃത്ത് ഉള്ള സിനിമകൾ
NUM,ജേസൺ സ്കോട്ട് ലീ അഭിനയിച്ച സിനിമകൾ എപ്പോഴാണ് പുറത്തിറങ്ങിയത്
HUM,അലജാൻഡ്രോ ജോഡോറോവ്സ്കി എഴുതിയ സിനിമകളിൽ അഭിനയിച്ചു
HUM,വനേസ പാരീസ് എഴുതിയ സിനിമകൾ ആരാണ് സംവിധാനം ചെയ്തത്
ENTY,മോർട്ടൺ ഡകോസ്റ്റ സംവിധാനം ചെയ്ത സിനിമകൾ ഏത് വിഭാഗത്തിലാണ് വരുന്നത്
HUM,കേറ്റ് കോണറിൻ്റെ സഹതാരങ്ങൾ
ENTY,ഫ്രെഡ് സി. ന്യൂമെയർ സംവിധാനം ചെയ്ത സിനിമകൾ ഏത് വിഭാഗത്തിലാണ് വരുന്നത്
HUM,ജോസഫ് സിഡാർ സംവിധാനം ചെയ്ത ചിത്രങ്ങളിലെ അഭിനേതാക്കൾ
HUM,ടിം മെഡോസ് അഭിനയിച്ച സിനിമകളുടെ തിരക്കഥാകൃത്തായി പട്ടികപ്പെടുത്തിയിട്ടുണ്ട്
ENTY,ഫ്രാങ്കോയിസ് ബെർലാൻഡ് അഭിനയിച്ച സിനിമകളിലെ പ്രാഥമിക ഭാഷകൾ ഏതൊക്കെയാണ്
HUM,ഫിലിപ്പ് നഹോൺ അഭിനയിച്ച സിനിമകൾ എഴുതിയത് ആരാണ്?
ENTY,കീപ് ദ ലൈറ്റ്‌സ് ഓണിൻ്റെ അതേ സംവിധായകൻ ഏതൊക്കെ സിനിമകളാണ്
NUM,നഥാനിയേൽ ഗുഡ്മാൻ എഴുതിയ സിനിമകളുടെ റിലീസ് തീയതികൾ എന്തായിരുന്നു
ENTY,മാർക്ക് ഒകീഫ് എഴുതിയ സിനിമകൾ ഏതൊക്കെയാണ്
HUM,എലോഡി ബൗച്ചസിനൊപ്പം അഭിനയിച്ചു
HUM,ലെലെതി ഖുമാലോയ്‌ക്കൊപ്പം അഭിനയിച്ചത്
NUM,ഒറെൻ റുഡാവ്‌സ്‌കി രചിച്ച സിനിമകളുടെ റിലീസ് വർഷങ്ങൾ എന്തായിരുന്നു
HUM,മാർക്ക് എ. ആൾട്ട്മാൻ എഴുതിയ ചിത്രങ്ങളിലെ അഭിനേതാക്കൾ
ENTY,അനലൈസ് ദാറ്റിൻ്റെ അതേ സംവിധായകൻ തന്നെ സംവിധാനം ചെയ്ത സിനിമകൾ ഏതൊക്കെയാണ്
HUM,പോൾ വിൻഫീൽഡിനൊപ്പം അഭിനയിച്ചു
HUM,ആർതർ ഫ്രാൻസ് എന്ന നടൻ കൂടെ അഭിനയിച്ചു
NUM,ടോം കെയിൻസ് രചിച്ച സിനിമകൾ റിലീസ് ചെയ്ത വർഷങ്ങൾ
ENTY,ഗോയുടെ അതേ തിരക്കഥാകൃത്ത് ഏതൊക്കെ സിനിമകളാണ്
NUM,ഡാനിയൽ മീർസാൻഡ് എഴുതിയ സിനിമകളുടെ റിലീസ് വർഷങ്ങൾ എന്തായിരുന്നു
NUM,നിക്കോളാസ് ക്ലേ അഭിനയിച്ച ചിത്രങ്ങൾ റിലീസ് ചെയ്ത വർഷങ്ങൾ
NUM,ലോറൻ്റ് ഡച്ച് അഭിനയിച്ച സിനിമകൾ റിലീസ് ചെയ്ത വർഷങ്ങൾ
NUM,കാസ്പർ ബാർഫോഡ് സംവിധാനം ചെയ്ത സിനിമകൾ എപ്പോഴാണ് പുറത്തിറങ്ങിയത്
HUM,ഡഡ്‌ലി മർഫി സംവിധാനം ചെയ്ത സിനിമകൾ എഴുതിയത് ആരാണ്
HUM,നടൻ എലിസബത്ത് റീസർ ആർക്കൊപ്പം അഭിനയിച്ചു
ENTY,ഡിലൻ നീൽ അഭിനയിച്ച സിനിമകൾ ഏതൊക്കെ വിഭാഗങ്ങളിലായിരുന്നു
NUM,എപ്പോഴാണ് റോബി അമേൽ അഭിനയിച്ച ചിത്രങ്ങൾ റിലീസ് ചെയ്തത്
ENTY,ടോം ഹോളണ്ട് സംവിധാനം ചെയ്ത സിനിമകൾ ഏതൊക്കെ തരത്തിലാണ്
ENTY,ചിവെറ്റെൽ എജിയോഫോർ അഭിനയിച്ച സിനിമകൾ ഏതൊക്കെയാണ്
ENTY,ദ ഹൗസ് ബണ്ണിയുടെ അതേ നടൻ ഏതൊക്കെ സിനിമകളിലാണ്
ENTY,സബോട്ടറിൻ്റെ അതേ തിരക്കഥാകൃത്ത് ഉള്ള സിനിമകൾ
NUM,വാൾട്ടർ സാക്‌സർ എഴുതിയ സിനിമകളുടെ റിലീസ് തീയതികൾ എന്തായിരുന്നു
ENTY,റേ മക്കിന്നൻ എഴുതിയ സിനിമകൾ ഏതൊക്കെ തരത്തിലാണ്
ENTY,ബെർണീസ് ക്ലെയർ അഭിനയിച്ച സിനിമകൾ ഏതൊക്കെ വിഭാഗങ്ങളിലായിരുന്നു
NUM,റെക്സ് തോംസൺ അഭിനയിച്ച സിനിമകൾ എപ്പോഴാണ് റിലീസ് ചെയ്തത്
HUM,കീത്ത് റെഡ്ഡിനോടൊപ്പം സിനിമകൾ എഴുതിയിട്ടുണ്ട്
ENTY,ക്രിസ്റ്റീന യാവോ എഴുതിയ സിനിമകളിൽ ഏതൊക്കെ അഭിനേതാക്കളാണ് അഭിനയിച്ചത്
ENTY,ഫ്ലോറൻസ് ബേറ്റ്‌സ് അഭിനയിച്ച സിനിമകളുടെ വിഭാഗങ്ങൾ എന്തൊക്കെയാണ്
ENTY,അനിമൽസ് യുണൈറ്റഡിൻ്റെ അതേ സംവിധായകൻ ഏതൊക്കെ സിനിമകളാണ്
NUM,നെവ ഫ്രീഡൻ എഴുതിയ സിനിമകൾ എപ്പോഴാണ് റിലീസ് ചെയ്തത്
HUM,കെ ഹാമണ്ട് അഭിനയിച്ച സിനിമകൾക്ക് തിരക്കഥ എഴുതിയത്
ENTY,ടോറൻ്റിൻ്റെ നടൻ എൽ ബ്രാസോ ടോൻ്റോ ഡി ലാ ലിയും അഭിനയിച്ച സിനിമകൾ
HUM,എസ്ര ബസിങ്ടൺ അഭിനയിച്ച സിനിമകൾ എഴുതിയത് ആരാണ്?
ENTY,കോംബാറ്റ് ഷോക്കിനൊപ്പം തിരക്കഥാകൃത്ത് പങ്കുവെക്കുന്ന സിനിമകൾ
HUM,ബെൻ പാമർ സംവിധാനം ചെയ്ത ചിത്രങ്ങളിലെ അഭിനേതാക്കൾ
ENTY,ലോറ ലാ പ്ലാൻ്റ് അഭിനയിച്ച സിനിമകൾ ഏതൊക്കെ വിഭാഗങ്ങളിലായിരുന്നു
HUM,ഉള്ളി ലോമ്മലിനൊപ്പം സിനിമകൾ സംവിധാനം ചെയ്‌തിട്ടുണ്ട്
HUM,വുഡ് മോയ് അഭിനയിച്ച സിനിമകൾ എഴുതിയത് ആരാണ്
HUM,ദേരൻ സരഫിയാൻ സംവിധാനം ചെയ്ത ചിത്രങ്ങളിൽ അഭിനയിച്ചിട്ടുണ്ട്
HUM,ഹാൻസ് റാമോ എഴുതിയ സിനിമകളുടെ സംവിധായകനായി പട്ടികപ്പെടുത്തിയിട്ടുണ്ട്
ENTY,ചീച്ച് മരിൻ സംവിധാനം ചെയ്ത സിനിമകൾ ഏതൊക്കെയാണ്
ENTY,ദി മൈനസ് മാനുമായി തിരക്കഥാകൃത്ത് പങ്കിടുന്ന സിനിമകൾ
ENTY,ചാൾസ് എസ്. ഡട്ടൺ അഭിനയിച്ച സിനിമകൾ ഏത് വിഭാഗത്തിലാണ് വരുന്നത്
HUM,മരിയ ഔസ്പെൻസ്കായ അഭിനയിച്ച സിനിമകൾ സംവിധാനം ചെയ്തത് ആരാണ്
HUM,ചാൾസ് പെറോൾട്ട് എഴുതിയ സിനിമകളിൽ അഭിനയിച്ചു
HUM,ചാൾസ് ബ്രാക്കറ്റിനൊപ്പം സിനിമകൾ എഴുതിയിട്ടുണ്ട്
NUM,എപ്പോഴാണ് ആൻജി ഹാർമോൺ അഭിനയിച്ച സിനിമകൾ പുറത്തിറങ്ങിയത്
ENTY,ബ്രാൻഡൻ ക്യാമ്പ് സംവിധാനം ചെയ്ത സിനിമകൾ ഏതൊക്കെ വിഭാഗങ്ങളിലായിരുന്നു
HUM,തിരക്കഥാകൃത്ത് സിന്തിയ സിഡ്രെ ആർക്കൊപ്പം സിനിമകൾ എഴുതി
HUM,ജോ എസ്റ്റെർഹാസ് എഴുതിയ ചിത്രങ്ങൾ സംവിധാനം ചെയ്തത് ആരാണ്
ENTY,ഹാർവി വീലർ എഴുതിയ സിനിമകൾ ഏതൊക്കെയാണ്
HUM,തെരേസ റസ്സൽ അഭിനയിച്ച സിനിമകളുടെ സംവിധായികയായി പട്ടികപ്പെടുത്തിയിട്ടുണ്ട്
ENTY,മക്കാലെ കുൽക്കിൻ അഭിനയിച്ച സിനിമകൾ ഏതൊക്കെ ഭാഷകളിലായിരുന്നു
HUM,നടൻ ആൻ്റണി മൈക്കൽ ഹാൾ ആർക്കൊപ്പം അഭിനയിച്ചു
HUM,മാർഷൽ ഓൾമാൻ അഭിനയിച്ച സിനിമകൾ സംവിധാനം ചെയ്ത വ്യക്തി
ENTY,റോമിയുടെയും മിഷേലിൻ്റെയും ഹൈസ്‌കൂൾ റീയൂണിയൻ്റെ അതേ നടനുള്ള സിനിമകൾ ഏതൊക്കെയാണ്
ENTY,ഹോവാർഡ് ദ ഡക്കിൻ്റെ തിരക്കഥാകൃത്ത് ഏതൊക്കെ ചിത്രങ്ങളാണ് എഴുതിയത്
NUM,ജിം ക്ലിഫ് സംവിധാനം ചെയ്ത ചിത്രങ്ങൾ റിലീസ് ചെയ്ത വർഷങ്ങൾ
ENTY,നെപ്പോളിയൻ ഡൈനാമിറ്റിലെ നടനും ഏത് സിനിമകളിൽ അഭിനയിച്ചു
HUM,ജയ് മക്‌നെർണിയുടെ രചനയിൽ ആരാണ് ചിത്രങ്ങൾ സംവിധാനം ചെയ്തത്
ENTY,എഡ്വേർഡ് നോബ്ലോക്ക് എഴുതിയ സിനിമകൾ ഏത് വിഭാഗത്തിലാണ് വരുന്നത്
ENTY,ബ്ലഡ്‌റെയ്‌നിലെ നടൻ ഏത് സിനിമകളിലാണ് പ്രത്യക്ഷപ്പെടുന്നത്
HUM,ഡോൺ റിക്കിൾസ് അഭിനയിച്ച ചിത്രങ്ങൾ സംവിധാനം ചെയ്തത്
HUM,നടൻ കെവിൻ ഫിലിപ്പ് ആർക്കൊപ്പം അഭിനയിച്ചു
ENTY,ഡഗ്ലസ് മക്‌കൗൺ സംവിധാനം ചെയ്ത സിനിമകളുടെ തരങ്ങൾ ഏതൊക്കെയാണ്
ENTY,അന്നബെല്ല സിയോറ അഭിനയിച്ച സിനിമകൾ ഏതൊക്കെയാണ്?
HUM,ഗ്ലാഡിസ് അങ്കറിൻ്റെ സഹ-എഴുത്തുകാർ
ENTY,ടോണി കോളെറ്റ് അഭിനയിച്ച സിനിമകൾ ഏതൊക്കെയാണ്
HUM,തിരക്കഥാകൃത്ത് റോജർ വെർസലിൻ്റെ അഭിനേതാക്കൾ
NUM,ബബ്ബർ സുഭാഷ് സംവിധാനം ചെയ്ത സിനിമകളുടെ റിലീസ് തീയതികൾ എന്തായിരുന്നു
NUM,ഡേവിഡ് ഹാർബർ അഭിനയിച്ച സിനിമകൾ എപ്പോഴാണ് പുറത്തിറങ്ങിയത്
HUM,വിർണ ലിസിക്കൊപ്പം ഒരേ സിനിമയിൽ പ്രത്യക്ഷപ്പെട്ടു
ENTY,എ ബിഗിനേഴ്‌സ് ഗൈഡ് ടു എൻഡിങ്ങ്സിലെ അതേ നടനെ ഏതൊക്കെ സിനിമകൾ പങ്കിടുന്നു
HUM,സംവിധായകൻ എത്തോർ സ്കോളയുടെ അഭിനേതാക്കൾ
ENTY,സ്റ്റീവ് കൊക്രാൻ അഭിനയിച്ച സിനിമകൾ ഏതൊക്കെയാണ്
HUM,സെഡ്രിക് ദി എൻ്റർടെയ്‌നർ അഭിനയിച്ച സിനിമകൾക്ക് തിരക്കഥ എഴുതിയത്
HUM,ബിൽ കെല്ലി എഴുതിയ സിനിമകളിൽ അഭിനയിച്ചു
ENTY,എവേ ഫ്രം ഹെറിലെ നടൻ ഏത് ചിത്രങ്ങളിലാണ് പ്രത്യക്ഷപ്പെടുന്നത്
ENTY,ദി സൈൻ ഓഫ് ദ ക്രോസുമായി തിരക്കഥാകൃത്ത് പങ്കിടുന്ന സിനിമകൾ
NUM,ക്ലിഫ് ഓവൻ സംവിധാനം ചെയ്ത സിനിമകളുടെ റിലീസ് തീയതികൾ എന്തായിരുന്നു
NUM,ജോൺ ഫാൻ്റെ എഴുതിയ സിനിമകൾ എപ്പോഴാണ് റിലീസ് ചെയ്തത്
ENTY,ഫ്രൈഡ് ഗ്രീൻ ടൊമാറ്റോസിൻ്റെ സംവിധായകൻ ഏതൊക്കെ സിനിമകളും സംവിധാനം ചെയ്തു
ENTY,ഡിലൻ മക്‌ഡെർമോട്ട് അഭിനയിച്ച സിനിമകൾ ഏതൊക്കെയാണ്
ENTY,പ്രതിഭാസത്തിൻ്റെ സംവിധായകൻ ഏതൊക്കെ ചിത്രങ്ങളാണ് സംവിധാനം ചെയ്തത്
ENTY,ലോൺ ഷെർഫിഗ് സംവിധാനം ചെയ്ത സിനിമകൾ ഏതൊക്കെ ഭാഷകളിലായിരുന്നു
ENTY,ബക്ക് ഹെൻറി എഴുതിയ സിനിമകൾ ഏതൊക്കെ വിഭാഗങ്ങളിലായിരുന്നു
ENTY,റോളണ്ട് ഷൂട്ട് എഴുതിയ സിനിമകൾ ഏതൊക്കെയാണ്
NUM,ജൂലിയൻ മാഗ്നറ്റ് സംവിധാനം ചെയ്ത ചിത്രങ്ങൾ എപ്പോഴാണ് പുറത്തിറങ്ങിയത്
ENTY,ബ്രിങ്ക് ഓഫ് ലൈഫിൻ്റെ അതേ സംവിധായകൻ പങ്കിടുന്ന സിനിമകൾ
ENTY,കോസ്മോപോളിസിലെ നടനും ഏത് ചിത്രങ്ങളിൽ അഭിനയിച്ചു
ENTY,സൈമൺ റംലി എഴുതിയ സിനിമകൾ ഏതൊക്കെയാണ്
ENTY,ലാറി ബ്രൗൺ എഴുതിയ സിനിമകളിൽ ഏതൊക്കെ അഭിനേതാക്കളാണ് അഭിനയിച്ചത്
ENTY,ക്രാങ്ക്‌സിനൊപ്പം ക്രിസ്‌മസിൻ്റെ അതേ നടനുള്ള സിനിമകൾ ഏതൊക്കെയാണ്
ENTY,വാണ്ട നെവാഡയുടെ അതേ സംവിധായകൻ പങ്കിടുന്ന സിനിമകൾ
HUM,ബെർണാർഡ് ഷ്ലിങ്ക് എഴുതിയ സിനിമകൾ ആരാണ് സംവിധാനം ചെയ്തത്
ENTY,ഗ്രെഗ് ടിമ്മർമാൻസ് അഭിനയിച്ച സിനിമകൾ ഏത് വിഭാഗത്തിലാണ് വരുന്നത്
HUM,സിഡ്നി ജെ ഫ്യൂറി സംവിധാനം ചെയ്ത സിനിമകൾ എഴുതിയത് ആരാണ്
NUM,ഡാനിയൽ ഹെൻഡ്‌ലർ അഭിനയിച്ച സിനിമകൾ റിലീസ് ചെയ്ത വർഷങ്ങൾ
HUM,ആദം റെസ്‌നിക്ക് തിരക്കഥയെഴുതിയ സിനിമകൾ ആരാണ് സംവിധാനം ചെയ്തത്
ENTY,റയാൻ റോവ് എഴുതിയ സിനിമകൾ ഏതൊക്കെ തരത്തിലാണ് വരുന്നത്
ENTY,സോംബിലാൻഡിലെ അതേ നടനെ പങ്കിടുന്ന സിനിമകൾ
ENTY,ജീൻ പാർക്കർ അഭിനയിച്ച സിനിമകൾ ഏതൊക്കെ ഭാഷകളിലാണ്
NUM,മൈക്കൽ കർട്ടിസ് സംവിധാനം ചെയ്ത സിനിമകളുടെ റിലീസ് തീയതികൾ എന്തായിരുന്നു
NUM,ക്രിസ് മേക്ക്പീസ് അഭിനയിച്ച സിനിമകൾ പുറത്തിറങ്ങിയത് ഏതൊക്കെ വർഷങ്ങളിലാണ്
HUM,പീറ്റർ മാർക്കിൾ എഴുതിയ ചിത്രങ്ങളിൽ അഭിനയിച്ചു
ENTY,ബ്ലാക്ക് ഡെത്തിൻ്റെ സംവിധായകൻ ഏതൊക്കെ സിനിമകളാണ് സംവിധാനം ചെയ്തത്
NUM,വില്യം റോസ് എഴുതിയ സിനിമകൾ എപ്പോഴാണ് റിലീസ് ചെയ്തത്
HUM,റിച്ചാർഡ് ഫിലിപ്സുമായി സഹ-രചയിതാവ്
NUM,ടോണി റാൻഡൽ അഭിനയിച്ച ചിത്രങ്ങൾ എപ്പോഴാണ് റിലീസ് ചെയ്തത്
HUM,ജെഫ് വിൻ്റർ എഴുതിയ സിനിമകൾ സംവിധാനം ചെയ്ത വ്യക്തി
ENTY,കാമിൽ ക്ലോഡൽ 1915-ൻ്റെ അതേ സംവിധായകനുള്ള സിനിമകൾ
HUM,ജെറാർഡ് ഔറി സംവിധാനം ചെയ്ത സിനിമകളിലെ അഭിനേതാക്കൾ
HUM,ജോസഫ് സ്റ്റെയ്ൻ എഴുതിയ സിനിമകളുടെ സംവിധായകനായി പട്ടികപ്പെടുത്തിയിട്ടുണ്ട്
HUM,എൻസോ ജി. കാസ്റ്റെല്ലരി സംവിധാനം ചെയ്ത സിനിമകൾ എഴുതിയത് ആരാണ്
ENTY,സ്ലൂത്തിൻ്റെ അതേ സംവിധായകൻ ഉള്ള സിനിമകൾ
HUM,പോൾ ലോഗനൊപ്പം അഭിനയിച്ചവർ
NUM,അവ ഡുവെർനെ സംവിധാനം ചെയ്ത സിനിമകൾ ഏതൊക്കെ വർഷങ്ങളിലാണ് പുറത്തിറങ്ങിയത്
HUM,ഇ. ക്വിൻസി സ്ലോൺ എന്ന നടനാണ് സഹനടൻ
NUM,റൂക്കി ഓഫ് ദ ഇയറിലെ നടൻ ഏത് ചിത്രങ്ങളിലാണ് പ്രത്യക്ഷപ്പെടുന്നത്
HUM,ഡെലോറസ് ടെയ്‌ലറിനൊപ്പം ഒരേ സിനിമയിൽ പ്രത്യക്ഷപ്പെട്ടു
NUM,അൽ ഫെൽഡ്‌സ്റ്റൈൻ എഴുതിയ സിനിമകളുടെ റിലീസ് വർഷങ്ങൾ എന്തായിരുന്നു
NUM,ഫ്രാങ്ക് ഓസ് അഭിനയിച്ച സിനിമകളുടെ റിലീസ് തീയതികൾ എന്തായിരുന്നു
NUM,സേത്ത് മൈക്കൽ ഡോൺസ്‌കി രചിച്ച സിനിമകളുടെ റിലീസ് വർഷങ്ങൾ എന്തായിരുന്നു
ENTY,ഗെയിം ചേഞ്ച് എന്ന നടനും ഏത് സിനിമകളിൽ അഭിനയിച്ചു
HUM,പെഡ്രോ അർമെൻഡറിസ് അഭിനയിച്ച സിനിമകളുടെ സംവിധായകനായി പട്ടികപ്പെടുത്തിയിട്ടുണ്ട്
ENTY,ചീച്ച് മരിൻ എഴുതിയ സിനിമകളുടെ വിഭാഗങ്ങൾ എന്തൊക്കെയാണ്
HUM,ഗിൽ ബെല്ലോസ് അഭിനയിച്ച സിനിമകൾ എഴുതിയത് ആരാണ്
ENTY,ബെയർഫൂട്ടിൻ്റെ അതേ സംവിധായകൻ തന്നെ സംവിധാനം ചെയ്ത സിനിമകൾ ഏതൊക്കെയാണ്
HUM,ലിനോ കപ്പോലിച്ചിയോ അഭിനയിച്ച സിനിമകൾ സംവിധാനം ചെയ്ത വ്യക്തി
ENTY,ക്രിസ്റ്റ്യൻ പെറ്റ്സോൾഡ് എഴുതിയ സിനിമകൾ ഏതൊക്കെയാണ്
NUM,ഇർവിൻ അലൻ എഴുതിയ സിനിമകൾ എപ്പോഴാണ് റിലീസ് ചെയ്തത്
ENTY,എമിലിയോ എസ്റ്റീവ്സ് അഭിനയിച്ച സിനിമകൾ ഏതൊക്കെയാണ്
NUM,അലക് മക്കോവൻ അഭിനയിച്ച ചിത്രങ്ങൾ റിലീസ് ചെയ്ത വർഷങ്ങൾ
NUM,ക്രിസ് ടക്കർ അഭിനയിച്ച ചിത്രങ്ങൾ എപ്പോഴാണ് പുറത്തിറങ്ങിയത്
ENTY,ഫിലിപ്പ് ലിയോറെറ്റ് സംവിധാനം ചെയ്ത സിനിമകൾ ഏതൊക്കെ ഭാഷകളിലായിരുന്നു
ENTY,ജെറോം ടോണർ എഴുതിയ സിനിമകൾ ഏതൊക്കെ തരത്തിലാണ്
HUM,ജെഫ് യോർക്കിനൊപ്പം അഭിനയിച്ചവർ
HUM,ജോൺ ഹേർഡ് അഭിനയിച്ച സിനിമകൾ സംവിധാനം ചെയ്ത വ്യക്തി
ENTY,എഡ്വേർഡ് നോർട്ടൺ അഭിനയിച്ച സിനിമകളുടെ തരങ്ങൾ എന്തൊക്കെയാണ്
ENTY,ബിൽ ഇർവിൻ അഭിനയിച്ച സിനിമകൾ ഏത് വിഭാഗത്തിലാണ് വരുന്നത്
HUM,മൈക്കൽ ഹാഫ്‌സ്ട്രോം എഴുതിയ സിനിമകളിൽ അഭിനയിച്ചത് ആരാണ്
NUM,ലിയോ റോസ്റ്റൺ എഴുതിയ സിനിമകൾ റിലീസ് ചെയ്ത വർഷങ്ങൾ എന്തൊക്കെയായിരുന്നു
HUM,റസ്സൽ മീൻസ് അഭിനയിച്ച സിനിമകളുടെ സംവിധായകനായി പട്ടികപ്പെടുത്തിയിട്ടുണ്ട്
HUM,തിരക്കഥാകൃത്ത് ആദം നാഗാറ്റ ആരോടൊപ്പം സിനിമകൾ എഴുതിയിട്ടുണ്ട്
NUM,എപ്പോഴാണ് കാൾ മോഹർ അഭിനയിച്ച സിനിമകൾ റിലീസ് ചെയ്തത്
ENTY,കുനാൽ കോഹ്‌ലി എഴുതിയ സിനിമകൾ ഏതൊക്കെ വിഭാഗങ്ങളിലാണ്
ENTY,വിപുൽ അമൃത്‌ലാൽ ഷാ സംവിധാനം ചെയ്ത ചിത്രങ്ങളിൽ ഏതൊക്കെ അഭിനേതാക്കളാണ് അഭിനയിച്ചത്
NUM,ടോം വാൾഡ്മാൻ എഴുതിയ സിനിമകൾ എപ്പോഴാണ് പുറത്തിറങ്ങിയത്
NUM,സൈമൺ മക്കോർക്കിൻഡേൽ അഭിനയിച്ച സിനിമകൾ എപ്പോഴാണ് റിലീസ് ചെയ്തത്
HUM,ഡ്വെയ്ൻ ജോൺസൺ അഭിനയിച്ച സിനിമകൾ സംവിധാനം ചെയ്തത്
HUM,മാർക്ക് ഇല്ല്സ്ലി എഴുതിയ സിനിമകളിൽ അഭിനയിച്ചു
ENTY,ഓപ്പറേഷൻ ക്രോസ്ബോ ഉപയോഗിച്ച് തിരക്കഥാകൃത്ത് പങ്കിടുന്ന സിനിമകൾ
HUM,ആഞ്ജലിക്ക ഹസ്റ്റൺ അഭിനയിച്ച ചിത്രങ്ങളുടെ രചയിതാക്കൾ
NUM,എറ്റോർ സ്‌കോള സംവിധാനം ചെയ്ത സിനിമകൾ റിലീസ് ചെയ്ത വർഷങ്ങൾ
HUM,തിരക്കഥാകൃത്ത് ക്ലേട്ടൺ ജേക്കബ്സൺ ആർക്കൊപ്പം സിനിമകൾ എഴുതി
ENTY,സെൽമ ലാഗർലോഫ് എഴുതിയ സിനിമകൾ ഏതൊക്കെയാണ്
ENTY,ഈറ്റൻ എലൈവിൻ്റെ അതേ നടൻ ഏതൊക്കെ സിനിമകളിലാണ്!
ENTY,ദ മേജർ ആൻഡ് ദ മൈനറിൻ്റെ അതേ സംവിധായകൻ തന്നെ സംവിധാനം ചെയ്ത സിനിമകൾ ഏതൊക്കെയാണ്
