text,type,labelname
1960-കളിലെ വിദ്യാഭ്യാസ സമ്പ്രദായം എന്തായിരുന്നു?,other,ENTY
ലോകത്തിലെ ഏറ്റവും ഉയർന്ന വാണിജ്യ ലാൻഡിംഗ് ഫീൽഡ് ഉള്ള തെക്കേ അമേരിക്കൻ നഗരം ഏതാണ്?,city,LOC
കേബിൾ മോഡം ആക്സസ് ഉള്ള നഗരങ്ങൾ ഏതൊക്കെയാണെന്ന് എനിക്ക് എങ്ങനെ കണ്ടെത്താനാകും?,manner,DESC
ബെറ്റ്സി റോസ് എന്തിന് പ്രശസ്തനാണ്?,reason,DESC
എത്ര ഇനം സ്രാവുകൾ ഉണ്ട്?,count,NUM
എന്താണ് `` സ്നൂഗൻസ്'?,def,DESC
ലോകത്ത് എത്ര പേരുണ്ട്?,count,NUM
മാനിൽ നിന്ന് സുരക്ഷിതമായ എന്ത് കുറ്റിച്ചെടികൾ നടാം?,plant,ENTY
1972-ൽ വാട്ടർഗേറ്റിൽ ഏത് സംഘടനയുടെ ഓഫീസുകളാണ് തകർത്തത്?,gr,HUM
ടൈറ്റാനിക് കപ്പലിന്റെ രൂപകൽപ്പന എന്താണ്?,desc,DESC
എന്താണ് എസ്.ഒ.എസ്. നില കൊള്ളുക?,exp,ABBR
ജനന വൈകല്യങ്ങൾ കണ്ടെത്തുന്നതിന് വ്യാപകമായി ഉപയോഗിക്കുന്ന ഒരു സാങ്കേതിക വിദ്യയെ പറയുക?,techmeth,ENTY
പ്രതീക്ഷിക്കുന്ന അമ്മയ്ക്ക് ഫോളിക് ആസിഡിന്റെ ദൈനംദിന ആവശ്യകത എന്താണ്?,desc,DESC
`` 7 മിനിറ്റ് സിഗരറ്റ് എന്താണ്?,def,DESC
ഏത് നാല് രൂപങ്ങളിലാണ് സ്വർണ്ണം ഉണ്ടാകുന്നത്?,other,ENTY
ചാപ്പലെറ്റ് മുന്തിരിത്തോട്ടത്തിന്റെ വിസ്തീർണ്ണം എത്ര?,volsize,NUM
ക്വിഗോങ് എന്ന വാക്ക് നിങ്ങൾ എങ്ങനെ ശരിയായി പറയും?,manner,DESC
എപ്പോഴാണ് ബീഥോവൻ മരിച്ചത്?,date,NUM
ഒരു പുതിയ റെയിൽവേ കൽക്കരി കാറിന്റെ വില എത്രയാണ്?,money,NUM
ബ്രിട്ടീഷുകാർക്കെതിരെ അമേരിക്കൻ സ്വാതന്ത്ര്യ സമരത്തിൽ പ്രവേശിച്ച രണ്ട് യൂറോപ്യൻ രാജ്യങ്ങൾ ഏതാണ്?,country,LOC
സിനിമാപ്രവർത്തകരുടെ സഹകരണം എന്താണ്?,def,DESC
സി ഷാർപ്പ് മൈനറിലെ ഏത് റഷ്യൻ സംഗീതസംവിധായകന്റെ ആമുഖമാണ് അദ്ദേഹത്തിന് പ്രശസ്തിയും ഭാഗ്യവും കൊണ്ടുവന്നത്?,ind,HUM
ഹാരി ഹൗഡിനിയുടെ മരണത്തിന് കാരണമായത് എന്താണ്?,reason,DESC
വിൻഡ്‌സർ പ്രഭുവായ രാജാവാകാത്ത മനുഷ്യന്റെ അമ്മ ആരായിരുന്നു?,ind,HUM
ഒരു സാധാരണ എൽപി മൂന്ന് മിനിറ്റിനുള്ളിൽ എത്ര വിപ്ലവങ്ങൾ ഉണ്ടാക്കുന്നു?,count,NUM
ലോകത്തിലെ ഏറ്റവും ഉയരം കൂടിയ പർവതത്തിന്റെ പേരെന്താണ്?,mount,LOC
ഒരു ഫിലിം ജേണലിൽ എൽം സ്ട്രീറ്റിലെ നൈറ്റ്മേറിന്റെ അവലോകനം എനിക്ക് എവിടെ കണ്ടെത്താനാകും?,other,LOC
ഏറ്റവും വേഗത കുറഞ്ഞ ഒളിമ്പിക് നീന്തൽ സ്ട്രോക്ക് ഏതാണ്?,techmeth,ENTY
ബഹിരാകാശ നടത്തം നടത്തിയ ആദ്യത്തെ റഷ്യൻ ബഹിരാകാശ സഞ്ചാരിയുടെ പേരെന്താണ്?,ind,HUM
അനോഫിലിസ് കൊതുകുകൾ പരത്തുന്ന രോഗം?,dismed,ENTY
ഒരു ബ്രാൻഡ് ബാറാണ് ഇത്ര `` മിക്സബിൾ' എന്താണ് റം?,food,ENTY
എത്ര തെക്കേ അമേരിക്കൻ രാജ്യങ്ങളുടെ പേരുകളിൽ Z എന്ന അക്ഷരം ഉണ്ട്?,count,NUM
നിർദ്ദേശം 98-ന്റെ ഉള്ളടക്കം എന്താണ്?,def,DESC
ജോർജ്ജ് വാഷിംഗ്ടൺ എവിടെയാണ് ജനിച്ചത്?,other,LOC
"ഡിസംബർ 21 ന് സ്‌കോട്ട്‌ലൻഡിലെ ലോക്കർബിക്ക് മുകളിലൂടെ പാൻ ആം ഫ്ലൈറ്റ് 103 ബോംബെറിഞ്ഞ് നിലത്തുണ്ടായിരുന്ന എത്രപേർ കൊല്ലപ്പെട്ടു, സി.ഡി.",count,NUM
NN DT NNP NNP' എഴുതിയത് ആരാണ്?,ind,HUM
എന്താണ് പാരസെറ്റമോൾ?,def,DESC
ഗ്രീൻ ലാന്റേണിന്റെ മോതിരത്തിന്റെ ശക്തികളും ബലഹീനതകളും എന്തൊക്കെയാണ്?,desc,DESC
"ഏത് കൊതുകിന്റെ കടിയാണ് രക്തം വലിച്ചെടുക്കുന്നത്, DT NN CC DT NN",animal,ENTY
യുണൈറ്റഡ് സ്റ്റേറ്റ്സിലെ ആദ്യത്തെ സ്റ്റീൽ മിൽ എപ്പോഴാണ് നിർമ്മിച്ചത്?,date,NUM
1984 ഒളിമ്പിക്സിൽ ഷോ മോഷ്ടിച്ച ഏത് ചെറിയ അമേരിക്കൻ വനിതാ ജിംനാസ്റ്റാണ്?,ind,HUM
കാറ്റി എന്ന പേരിന്റെ ഉത്ഭവം എന്താണ്?,desc,DESC
"വാഷിംഗ്ടണിൽ ഏതൊക്കെ സ്കൂളുകൾ, DC NN NN VBP NN NN NN NN",gr,HUM
എപ്പോഴാണ് ബെർലിൻ മതിൽ ഉയർന്നത്?,date,NUM
ആരാണ് ടെറൻസ് മാലിക്?,desc,HUM
ഏത് ഉപകരണമാണ് റേ ചാൾസ് കളിക്കാൻ അറിയപ്പെടുന്നത്?,instru,ENTY
"ലാറ്റിൻ യുദ്ധവിളിയുടെ അർത്ഥമെന്താണ്: അഡ് ആർമ, ആഡ് ആർമ",def,DESC
നോട്രെ ഡാം സർവകലാശാലയുടെ ചിഹ്നം എന്താണ്?,other,ENTY
1980 നവംബറിൽ 84 പേരുടെ മരണത്തോടെ ലാസ് വെഗാസിലെ ഏത് ഹോട്ടൽ കത്തിച്ചു?,other,LOC
എപ്പോഴാണ് മൗണ്ട് സെന്റ് ഹെലൻ അവസാനമായി ഒരു പ്രധാന സ്ഫോടനം ഉണ്ടായത്?,date,NUM
എന്ത്?,exp CNN is the abbreviation for,ABBR
ഒന്നാം ലോകമഹായുദ്ധം ആരംഭിച്ചത് എപ്പോഴാണ്?,date,NUM
ഒരു ആഴത്തിൽ എത്ര അടി ഉണ്ട്?,count,NUM
കാനഡ രണ്ട് പെന്നി കറുപ്പ് എന്താണ്?,def,DESC
നിക്കോയിസ് ഏത് യൂറോപ്യൻ നഗരത്തിലാണ് താമസിക്കുന്നത്?,city,LOC
ഏത് വർഷമാണ് ബീനി ബേബി അവതരിപ്പിച്ചതെന്ന് എനിക്ക് എങ്ങനെ കണ്ടെത്താനാകും?,manner,DESC
ദുരന്ത നായകന്റെ ക്ലാസിക് നിർവചനം എന്താണ്?,def,DESC
മൈക്രോസോഫ്റ്റിന്റെ വിൻഡോസ് 3 അതിന്റെ വിജയത്തിന് എന്താണ് കടപ്പെട്ടിരിക്കുന്നത്?,other To,ENTY
1994-ൽ അഫ്ഗാനിസ്ഥാന്റെ പ്രസിഡന്റ് ആരായിരുന്നു?,ind,HUM
"ഗർഭധാരണം, ഭാരക്കുറവ്, ഭാരോദ്വഹനം എന്നിവയ്‌ക്ക് പുറമെ സ്‌ട്രെച്ച് മാർക്കുകൾ ലഭിക്കുന്നതിനുള്ള മറ്റ് മാർഗങ്ങൾ എന്തൊക്കെയാണ്?",techmeth,ENTY
ബ്രോന്റോസോറസ് എന്താണ് കഴിച്ചത്?,food,ENTY
നല്ല റൈൻ വൈനുകൾ ഏത് നിറത്തിലുള്ള കുപ്പികളാണ് വരുന്നത്?,color,ENTY
'സ്ലീപ്‌ലെസ് ഇൻ സിയാറ്റിൽ' എന്ന ചിത്രത്തിലെ നായിക ആരായിരുന്നു?,ind,HUM
അമേരിക്കയുടെ 16-ാമത് പ്രസിഡന്റ് ആരായിരുന്നു?,ind,HUM
ഓസിയുടെയും ഹാരിയറ്റ് നെൽസണിന്റെയും രണ്ട് ആൺമക്കൾ ആരാണ്?,ind,HUM
എന്താണ് മോളിബ്ഡിനം?,def,DESC
എപ്പോഴാണ് ബോക്സിംഗ് ഡേ?,date,NUM
അമേരിക്കൻ ജുഡീഷ്യറിയുടെ ഏറ്റവും താഴ്ന്ന നില എന്താണ്?,other,ENTY
എപ്പോഴാണ് സോം യുദ്ധം നടന്നത്?,date,NUM
റാണ്ടി ക്രാഫ്റ്റ് എത്ര പേരെ കൊന്നു?,count,NUM
കാനഡയുടെ ഔദ്യോഗിക മൃഗം ഏതാണ്?,animal,ENTY
എപ്പോഴാണ് സ്പിൽബർഗ് ``ജാസ്' സംവിധാനം ചെയ്തത്?,date,NUM
ഏറ്റവും വലിയ അക്കിറ്റയുടെ വലിപ്പം എന്താണ്?,volsize,NUM
ഏറ്റവും വലിയ കണ്ണുകളുള്ള മൃഗം ഏതാണ്?,animal,ENTY
കാലിഫോർണിയയുടെ തലസ്ഥാനം എന്താണ്?,city,LOC
കംപ്യൂട്ടർ ഹാക്കർമാരെ കുറിച്ചുള്ള ``ദി കക്കൂസ് എഗ്: ട്രാക്കിംഗ് എ സ്പൈ ത്രൂ ദ മേസ് ഓഫ് കമ്പ്യൂട്ടർ ചാരപ്രവർത്തനം' എന്ന പുസ്തകത്തിന്റെ രചയിതാവ് ആരാണ്?,ind,HUM
പിങ്ക് ഫ്ലോയ്ഡ് ബാൻഡിന്റെ സ്ഥാപക അംഗം ആരായിരുന്നു?,ind,HUM
ബിയർ ഉൽപ്പാദിപ്പിക്കുന്ന നഗരമായ ബഡ്‌വെയ്‌സ് ഏത് യൂറോപ്യൻ രാജ്യമാണ്?,country,LOC
എന്റെ സോഷ്യൽ സെക്യൂരിറ്റി അക്കൗണ്ടിന്റെ ബാലൻസ് എങ്ങനെ കണ്ടെത്താം?,manner,DESC
വാലന്റൈൻസ് ഡേ കാർഡുകളുടെ ചരിത്രം എന്താണ്?,desc,DESC
ക്രിസ്റ്റഫർ കൊളംബസ് എവിടെയാണ് ജനിച്ചത്?,other,LOC
ഇറ്റലിക്കാർ ഫ്ലോറൻസിനെ എന്താണ് വിളിക്കുന്നത്?,termeq,ENTY
എങ്ങനെയാണ് ഈഫൽ ടവറിന്റെ മുകളിൽ എത്തുന്നത്?,manner,DESC
PSI എന്തിനെ സൂചിപ്പിക്കുന്നു?,exp,ABBR
ഏത് കടലാണ് റോമാക്കാർ മാരെ നോസ്ട്രം എന്ന് വിളിച്ചത്?,other,LOC
കാർഡുകൾ ഡീൽ ചെയ്യുന്നതിന് മുമ്പുള്ള ഒരു പന്തയത്തിന്റെ കാലാവധി എന്താണ്?,termeq,ENTY
ഉല്പത്തി 1 : 2 : 22 പ്രകാരം ആദ്യം വന്നത് കോഴിയാണോ മുട്ടയാണോ?,animal,ENTY
ഫ്ലിന്റ്‌സ്റ്റോൺസ് ഏത് നഗരത്തിലാണ് താമസിച്ചിരുന്നത്?,city,LOC
കഴിവില്ലാത്തവർക്കുള്ള ലാറ്റിൻ എന്താണ്?,termeq,ENTY
മാരകമായ കുത്തിവയ്പ്പിൽ എന്ത് രാസവസ്തുക്കൾ ഉപയോഗിക്കുന്നു?,dismed,ENTY
ഏത് കളിപ്പാട്ട കമ്പനിയാണ് സ്ത്രീകളുടെ വസ്ത്രങ്ങളുടെ ലോകത്തെ ഒന്നാം നമ്പർ നിർമ്മാതാവ്?,gr,HUM
ഏത് ബോർഡ് ഗെയിമാണ് `` വുഡ്-പുഷർ' മോശമായി കളിക്കുന്നത്?,sport,ENTY
ഏത് ഡൂൺസ്ബറി കഥാപാത്രമാണ് ചെന്നായയായി മാറാൻ സാധ്യതയുള്ളത്?,ind,HUM
മൈക്രോ എന്നതിന്റെ ചുരുക്കെഴുത്ത് എന്താണ്?,abb,ABBR
ഭരണഘടനയിലെ 7 അനുച്ഛേദങ്ങൾ ഏതൊക്കെയാണ്?,other,ENTY
ഏറ്റവും കൂടുതൽ സൂപ്പർ ബൗളുകൾ നേടിയത് ആരാണ്?,gr,HUM
NASDAQ എന്താണ് സൂചിപ്പിക്കുന്നത്?,exp,ABBR
എന്താണ് BPH?,exp,ABBR
യുഎസിൽ വാങ്ങാൻ കഴിയുന്ന ഏറ്റവും വേഗതയേറിയ വാണിജ്യ ഓട്ടോമൊബൈൽ ഏതാണ്?,other,ENTY
മിയാമി ഡോൾഫിനുകൾ അവരുടെ ഹോം ഗെയിമുകൾ ഏത് സ്റ്റേഡിയത്തിലാണ് കളിക്കുന്നത്?,other,LOC
സൈലന്റ് മൂവിയിൽ സംസാരിക്കുന്ന ഒരേയൊരു വേഷം ആർക്കാണ്?,ind,HUM
എന്തുകൊണ്ടാണ് മലം ചിലപ്പോൾ വ്യത്യസ്ത നിറങ്ങളാകുന്നത്?,reason,DESC
ഐൻസ്റ്റീന്റെ ഐക്യു എന്തായിരുന്നു?,other,NUM
1942-ൽ പേൾ ഹാർബർ ആക്രമിക്കപ്പെട്ട ദിവസം?,date,NUM
ഏത് പെൺകുട്ടിയുടെ പേരാണ് `` ടെഡി' എന്ന വാത്സല്യ രൂപമാണ്?,ind,HUM
ജോൺ എഫ് കെന്നഡിയെ സംസ്‌കരിച്ച സംസ്ഥാനം?,state,LOC
വാൾപേപ്പർ നീക്കംചെയ്യാനുള്ള ഏറ്റവും നല്ല മാർഗം ഏതാണ്?,techmeth,ENTY
ഏത് യു.എസ് സംസ്ഥാനത്താണ് ഇതിന് പേരിട്ടിരിക്കുന്ന ഒരു ഘടകം ഉള്ളത്?,state,LOC
അക്കാദമി അവാർഡുകൾക്കായി വോട്ട് ചെയ്യുന്നതിൽ ബാലറ്റുകൾ പട്ടികപ്പെടുത്തുന്ന കമ്പനി ഏതാണ്?,gr,HUM
മികച്ച മനുഷ്യന്റെ പാരമ്പര്യം എങ്ങനെ ആരംഭിച്ചു?,manner,DESC
എത്ര വർഷം മുൻപാണ് ടൈറ്റാനിക് കപ്പൽ മുങ്ങിയത്?,count,NUM
ആർട്ടിക് സമുദ്രത്തിലെ ഏറ്റവും ആഴമേറിയ പ്രദേശം ഏതാണ്?,other,LOC
ഹാലോവീന്റെ നിറങ്ങൾ എന്തൊക്കെയാണ്?,color,ENTY
സിൽക്ക് സ്ക്രീനിംഗ് എങ്ങനെയാണ് ചെയ്യുന്നത്?,manner,DESC
ടെക്സാസിലെ എൽ പാസോയുടെ അക്ഷാംശവും രേഖാംശവും എന്താണ്?,other,NUM
ഗോഫർ മരം കൊണ്ട് ബോട്ട് ഉണ്ടാക്കിയത് ആരാണ്?,ind,HUM
എനിക്ക് ഒരു `` ഫിഫ്ത്ത് എലമെന്റ്' സ്ക്രീൻസേവർ എവിടെ കണ്ടെത്താനാകും?,other,LOC
ഏത് ബ്ലൂം കൗണ്ടി നിവാസിയാണ് കമ്പ്യൂട്ടർ ഉപയോഗിച്ച് നാശം വിതച്ചത്?,ind,HUM
ഒരു പേര് ഒരു സോഷ്യൽ സെക്യൂരിറ്റി നമ്പറുമായി എങ്ങനെ പൊരുത്തപ്പെടുത്താം?,manner,DESC
ഒരു മഴവില്ല് എങ്ങനെ രൂപപ്പെടുന്നു?,manner,DESC
ആരോഗ്യമുള്ള മുതിർന്നവരുടെ സാധാരണ വിശ്രമ ഹൃദയമിടിപ്പ് എന്താണ്?,other,NUM
ഒഹായോയിലെ ജനസംഖ്യ എത്രയാണ്?,other,NUM
ഒരു ബിഗ് മാക്കിൽ എത്ര കലോറി ഉണ്ട്?,count,NUM
ഹസ്മത്ത് എന്തിനെ സൂചിപ്പിക്കുന്നു?,def Hazmat stands for,DESC
'ജാസ്' എന്ന സിനിമയിൽ ഏത് ജീവിയാണ് ആളുകളെ ഭയപ്പെടുത്തുന്നത്?,animal,ENTY
അമേരിക്കയിലെ പത്രത്തിന്റെ വികസനത്തിൽ ജോൺ പീറ്റർ സെംഗർ എന്ത് പങ്ക് വഹിച്ചു?,ind,HUM
ആരാണ് സീസറിനെ പിന്തുടർന്നത്?,ind,HUM
എന്താണ് നാല് ഘടകങ്ങൾ?,substance,ENTY
ഒരു ദശലക്ഷം സമ്പാദിച്ച ആദ്യ വനിതാ ഗോൾഫ് താരം ആരാണ്?,ind,HUM
ഒരു ചെസ്സ് ബോർഡിലെ ഏറ്റവും ഉയരം കൂടിയ കഷണം ഏതാണ്?,other,ENTY
Answers.com-ന്റെ വിലാസം എന്താണ്?,other,LOC
വീഡിയോ ടേപ്പിൽ എനിക്ക് ഓൺലൈനിൽ സിനിമകൾ എവിടെ നിന്ന് വാങ്ങാനാകും?,other,LOC
ആരാണ് ഫ്രിറ്റോ-ലേയുടെ പരസ്യം ചെയ്യുന്നത്?,ind,HUM
ട്രാൻസ് യൂണിയൻ കമ്പനിയുടെ മുൻനിര എതിരാളി ആരാണ്?,gr,HUM
ഏത് ഉൽപ്പന്നമാണ് റോബർട്ട് കോൺറാഡ് തന്റെ തോളിൽ നിന്ന് തട്ടാൻ ആളുകളെ ധൈര്യപ്പെടുത്തിയത്?,product,ENTY
ആരാണ് റേഡിയോ കണ്ടുപിടിച്ചത്?,ind,HUM
യുകെയിൽ 8 പൗണ്ടിന് തുല്യമായ അമേരിക്കൻ ഡോളറിന് എന്താണ്?,count,NUM
സിസ്റ്റം വിശകലനത്തിന്റെ വ്യത്യസ്ത സമീപനങ്ങൾ എന്തൊക്കെയാണ്?,techmeth,ENTY
എങ്ങനെയാണ് ഡോക്ടർമാർ അസ്ഥി കാൻസർ നിർണ്ണയിക്കുന്നത്?,manner,DESC
മിസ് പിഗ്ഗിക്ക് വേണ്ടി ചരട് വലിച്ച് സംസാരിക്കുന്ന പന്നിയുടെ പിന്നിലെ മനുഷ്യൻ ആരാണ്?,ind,HUM
മിസിസിപ്പി നദിയുടെ വേഗത എത്രയാണ്?,speed,NUM
ഒരു നീന്തലിന്റെ വികസന ഘട്ടങ്ങൾ എന്തൊക്കെയാണ്?,other,ENTY
ജെയിംസ് ബോണ്ടിനെ ആദ്യമായി അവതരിപ്പിച്ച നടൻ?,ind,HUM
ലോകത്തിലെ ഏറ്റവും വലിയ സമുദ്രം ഏതാണ്?,other,LOC
1948-ൽ സാഹിത്യത്തിനുള്ള നോബൽ സമ്മാനം നേടിയ ആദ്യത്തെ അമേരിക്കൻ കവി ആരാണ്?,ind,HUM
ഏത് വർഷമാണ് ജാക്ക് നിക്ലസ് പ്രൊഫഷണൽ ഗോൾഫേഴ്സ് അസോസിയേഷൻ ടൂറിൽ ചേർന്നത്?,date,NUM
ഷേക്സ്പിയർ എത്ര സോണറ്റുകൾ എഴുതിയിട്ടുണ്ട്?,count,NUM
നിങ്ങൾ നാണിക്കുമ്പോൾ നിങ്ങളുടെ കവിളിൽ ചുവപ്പ് നിറമാകുന്നത് എന്താണ്?,reason,DESC
1991-ൽ സമാധാനത്തിനുള്ള നോബൽ സമ്മാനം നേടിയത് ആരാണ്?,ind,HUM
അജ്ഞാതരുടെ വെല്ലുവിളികൾ ആരാണ്?,gr,HUM
ഫീനിക്സ് ക്ലബ്ബിനെ നിർവചിക്കണോ?,def,DESC
ക്രിസ്ത്യൻ കുരിശുയുദ്ധക്കാർ മുസ്ലീങ്ങളിൽ നിന്ന് തിരിച്ചുപിടിക്കാൻ പോരാടിയ നഗരം ഏതാണ്?,city,LOC
രൂപയുടെ മൂല്യം കുറയുന്നു എന്നതിന്റെ അർത്ഥമെന്താണ്?,def,DESC
"ഏത് ഗെയിമിംഗ് ഉപകരണങ്ങളെയാണ് `` മിസിസിപ്പി മാർബിൾസ്', `` മെംഫിസ് ഡൊമിനോസ്' എന്ന് വിളിച്ചത്?",other,ENTY
ക്ലീവ്‌ലാൻഡ് ബ്രൗൺസിന്റെ ആദ്യ പരിശീലകൻ ആരായിരുന്നു?,ind,HUM
അരോമെതെറാപ്പി എത്രത്തോളം വിജയകരമാണ്?,manner,DESC
1973-ലെ മിഡിൽ ഈസ്റ്റ് യുദ്ധം ആരംഭിച്ച ജൂത അവധിക്കാലം ഏതാണ്?,event,ENTY
ഒരു കോപ്പിയർ എങ്ങനെയാണ് പ്രവർത്തിക്കുന്നത്?,manner,DESC
മിസിസിപ്പി നദിയുടെ വേഗത എത്രയാണ്?,speed,NUM
1969-ൽ സൂപ്പർ ബൗൾ III-നെ കുറിച്ച് ആരാണ് പറഞ്ഞത്: `` നന്നായി ജയിക്കൂ- ഞാൻ ഉറപ്പ് തരുന്നു''?,ind,HUM
ഡഡ്‌ലി ഡോ-റൈറ്റിന്റെ കുതിരയുടെ പേരെന്താണ്?,animal,ENTY
"ആരാണ് പ്രഖ്യാപിച്ചത്: ``ഞാൻ വേശ്യാവൃത്തിയിലാണ്, അവരെ കീറിമുറിക്കുന്നത് ഞാൻ അവസാനിപ്പിക്കില്ല''?",ind,HUM
ചോക്കലേറ്റ് എവിടെ നിന്ന് വരുന്നു?,other,LOC
ഏത് ടിവി ഗെയിം ഷോയിലാണ് ഒരിക്കൽ ഒരു മത്സരാർത്ഥി ഷവറിൽ കാൽവിരലുകൾ എടുക്കുന്നത് കണ്ടത്?,cremat,ENTY
ഏത് സോവിയറ്റ് നേതാവാണ് റോൾസ് റോയ്സ് സ്വന്തമാക്കിയത്?,ind,HUM
1991-ലെ വികലാംഗ വിദ്യാഭ്യാസ നിയമവുമായി ബന്ധപ്പെട്ട ഒരു കേസ് എനിക്ക് എവിടെ കണ്ടെത്താനാകും?,other,LOC
ഏത് യുദ്ധത്തിലാണ് ഫ്ലോറൻസ് നൈറ്റിംഗേൽ സൈന്യത്തെ നയിച്ചത്?,event,ENTY
"""സ്റ്റാർഡസ്റ്റ്"" എന്ന ഗാനം എഴുതിയത് ആരാണ്?",ind,HUM
എത്ര ബീറ്റിൽസ് റെക്കോർഡുകൾ #1 ആയി?,count,NUM
22 വർഷം തുടർച്ചയായി സേവിച്ച കാനഡയിലെ ഏക പ്രധാനമന്ത്രി ആരാണ്?,ind,HUM
കമ്പനിയുടെ പേര് `ജനറൽ മോട്ടോഴ്സ്' എന്നതിന്റെ ചുരുക്കെഴുത്ത് എന്താണ്?,abb,ABBR
"അർക്കൻസാസ്, മിസോറി നദികൾക്കിടയിൽ കിടക്കുന്ന പർവതങ്ങൾ ഏതാണ്?",mount,LOC
1989-ൽ വിൽ റോജേഴ്‌സ് അവാർഡ് ആർക്കാണ് ലഭിച്ചത്?,ind,HUM
റാമിന്റെ പ്രവർത്തനം എന്താണ്?,reason,DESC
ഭൂമിയോട് ഏറ്റവും അടുത്തുള്ള G2 സ്പെക്ട്രം മഞ്ഞ കുള്ളൻ ഏതാണ്?,other,LOC
ഒരു ഐസോസിലിസ് ത്രികോണത്തിൽ എത്ര തുല്യ കോണുകൾ ഉണ്ട്?,count,NUM
പാറ്റകളെ ഭയക്കുന്നതിനെ എന്താണ് വിളിക്കുന്നത്?,dismed,ENTY
ജോൺ എഫ്. കെന്നഡിയുടെ കൊലപാതകത്തിന്റെ ബുള്ളറ്റിൻ തടസ്സപ്പെടുത്തിയത് ഏത് സിബിഎസ് സോപ്പ് ഓപ്പറയാണ്?,cremat,ENTY
12 മണിക്കൂർ ക്ലോക്കിന് പകരം 24 മണിക്കൂർ ക്ലോക്കിന്റെ ഉപയോഗം എന്താണ്?,desc,DESC
റാണ്ടി ക്രാഫ്റ്റിനെ പ്രതിനിധീകരിച്ച അഭിഭാഷകന്റെ പേരെന്തായിരുന്നു?,ind,HUM
ഏത് യുണൈറ്റഡ് സ്റ്റേറ്റ്സ് പ്രസിഡന്റാണ് താൻ കൊല്ലപ്പെട്ടതായി സ്വപ്നം കണ്ടത്?,ind,HUM
1965-ലെ മികച്ച നടനുള്ള ഓസ്‌കാർ ലീ മാർവിൻ നേടിയ സിനിമ?,cremat,ENTY
ബാസ്‌ക് രാജ്യം എവിടെയാണ് സ്ഥിതി ചെയ്യുന്നത്?,other,LOC
``മിസ്സിസ് ഓൾസെൻ' ഏത് ഉൽപ്പന്നമാണ് പ്രൊമോട്ട് ചെയ്യുന്നത്?,product,ENTY
ഹിരോഹിതോ ചക്രവർത്തി മരിച്ചത് ഏത് ദിവസത്തിലാണ്?,date,NUM
ഡ്രൈ ഐസ് എന്താണ്?,def,DESC
യൂച്ചറിലെ ഏറ്റവും ശക്തമായ കാർഡ് ഏതാണ്?,other,ENTY
`` ഇൻട്രാക്റ്റബിൾ പ്ലാന്റാർ കെരാറ്റോമ' എന്താണ് അർത്ഥമാക്കുന്നത്?,def,DESC
ജെയിംസ് ജോയ്‌സ് യുലിസസ് എഴുതാൻ എത്ര വർഷമെടുത്തു?,count,NUM
എന്ത് വിളനാശമാണ് ഐറിഷ് ക്ഷാമത്തിന് കാരണമായത്?,food,ENTY
കിംപോ ഇന്റർനാഷണൽ എയർപോർട്ട് ഏത് ദക്ഷിണ കൊറിയൻ നഗരത്തിലാണ് സർവീസ് നടത്തുന്നത്?,city,LOC
"എത്ര തരം നായ്ക്കളുടെ വാലുകൾ ഉണ്ട് - മൂന്ന്"",",count,NUM
ഏറ്റവും ദൈർഘ്യമേറിയ ടെലിവിഷൻ പരമ്പര ഏതാണ്?,cremat,ENTY
അന്റാർട്ടിക്കയിൽ എന്ത് വേട്ടക്കാർ നിലവിലുണ്ട്?,animal,ENTY
ഒരു ജനറേറ്ററും ആൾട്ടർനേറ്ററും തമ്മിലുള്ള വ്യത്യാസം എന്താണ്?,desc,DESC
ഊർജ്ജം എങ്ങനെയാണ് സൃഷ്ടിക്കപ്പെടുന്നത്?,manner,DESC
"""മൂന്ന് വളയങ്ങൾ"" ഉണ്ടെന്ന് ഏത് ബിയറാണ് പരസ്യപ്പെടുത്തിയത്?",food,ENTY
വിയറ്റ്നാം യുദ്ധത്തിൽ നിന്ന് ഇപ്പോഴും കണക്കിൽപ്പെടാത്ത അമേരിക്കൻ സൈനികരുടെ എണ്ണം എത്രയാണ്?,other,NUM
ഡിസംബർ 12-ന് ജോർജ്ജ് ഗ്രാന്റ് ഏത് ഗോൾഫിംഗ് ആക്സസറിക്ക് പേറ്റന്റ് നേടി.,techmeth,ENTY
വിവിധ തരം പ്ലാസ്റ്റിക്കുകൾ എന്തൊക്കെയാണ്?,other,ENTY
qigong എന്ന് പറയുന്നത് എങ്ങനെ ശരിയാണ്?,manner,DESC
എവറസ്റ്റ് കണ്ടെത്തുന്നതിന് മുമ്പ് ഭൂമിയിലെ ഏറ്റവും ഉയരം കൂടിയ പർവ്വതം ഏതാണ്?,mount,LOC
1797-185 ലെ ലിഗൂറിയൻ റിപ്പബ്ലിക് എവിടെയായിരുന്നു?,other,LOC
ഏത് രാജ്യത്തെ ജനങ്ങളാണ് ഏറ്റവും കൂടുതൽ ടെലിവിഷൻ പ്രേക്ഷകർ?,country,LOC
സ്ത്രീകളുടെ വോട്ടവകാശ ഭേദഗതി എപ്പോഴാണ് അംഗീകരിച്ചത്?,date,NUM
ഏത് പോളിനേഷ്യൻ ജനതയാണ് ന്യൂസിലാന്റിൽ താമസിക്കുന്നത്?,gr,HUM
